number,company,symbol,ytd_return
313,CF Industries,CF,   -2.45
314,Sherwin-Williams,SHW,   -2.53
315,Amazon,AMZN,   -2.76
316,Devon Energy,DVN,   -2.84
317,Roper Technologies,ROP,   -2.95
318,News Corp (Class B),NWS,   -2.97
319,Chubb Limited,CB,   -3.02
320,Gen Digital,GEN,   -3.14
321,Charles River Laboratories,CRL,   -3.19
322,J.B. Hunt,JBHT,   -3.27
323,Fifth Third Bancorp,FITB,   -3.32
324,Digital Realty,DLR,   -3.45
325,Aon,AON,   -3.48
326,Lamb Weston,LW,   -3.49
327,Zimmer Biomet,ZBH,   -3.50
328,Motorola Solutions,MSI,   -3.66
329,Everest Group,EG,   -3.68
330,SBA Communications,SBAC,   -3.69
331,Automatic Data Processing,ADP,   -3.72
332,M&T Bank,MTB,   -3.81
333,Huntington Bancshares,HBAN,   -4.00
334,MetLife,MET,   -4.02
335,Airbnb,ABNB,   -4.19
336,"BXP, Inc.",BXP,   -4.26
337,U.S. Bancorp,USB,   -4.36
338,S&P Global,SPGI,   -4.58
339,Las Vegas Sands,LVS,   -5.24
340,Lennar,LEN,   -5.29
341,News Corp (Class A),NWSA,   -5.52
342,Texas Instruments,TXN,   -5.76
343,Progressive Corporation,PGR,   -5.78
344,Interpublic Group of Companies (The),IPG,   -5.82
345,Dayforce,DAY,   -6.03
346,Elevance Health,ELV,   -6.21
347,Arch Capital Group,ACGL,   -6.27
348,Marriott International,MAR,   -6.36
349,Masco,MAS,   -6.42
350,Starbucks,SBUX,   -6.48
351,Biogen,BIIB,   -6.49
352,GE HealthCare,GEHC,   -6.50
353,J.M. Smucker Company (The),SJM,   -6.66
354,"NVR, Inc.",NVR,   -6.83
355,PNC Financial Services,PNC,   -6.87
356,Best Buy,BBY,   -6.93
357,Host Hotels & Resorts,HST,   -7.11
358,Kimco Realty,KIM,   -7.15
359,Pfizer,PFE,   -7.52
360,Kimberly-Clark,KMB,   -7.67
361,Synopsys,SNPS,   -7.75
362,Healthpeak Properties,DOC,   -7.84
363,Paccar,PCAR,   -7.87
364,T. Rowe Price,TROW,   -7.95
365,Tyson Foods,TSN,   -8.69
366,Henry Schein,HSIC,   -9.00
367,MGM Resorts,MGM,   -9.06
368,Essex Property Trust,ESS,   -9.08
369,Blackstone Inc.,BX,   -9.14
370,"Workday, Inc.",WDAY,   -9.27
371,W. W. Grainger,GWW,   -9.37
372,Danaher Corporation,DHR,   -9.52
373,Packaging Corporation of America,PKG,   -9.69
374,Procter & Gamble,PG,   -9.73
375,Waters Corporation,WAT,   -9.78
376,Honeywell,HON,   -9.98
377,Omnicom Group,OMC,   -10.29
